code,cname,pe,pb,mv
300866,安克创新,20.75,4.37,36189073846.0
603997,继峰股份,139.37,2.8,14813092020.0
688326,经纬恒润-W,-11.25,1.72,7499475000.0
002203,海亮股份,12.78,1.16,15806709547.0
603662,柯力传感,28.73,2.55,6711944122.0
002584,西陇科学,41.31,1.53,3528855025.0
600592,龙溪股份,25.05,1.34,3224397318.0
688717,艾罗能源,48.59,2.25,10011200000.0
600661,昂立教育,-85.43,70.29,2925663554.0
001914,招商积余,10.08,0.88,8779665377.0
000415,渤海租赁,9.11,0.42,13049339905.0
002017,东信和平,31.15,3.0,4939475546.0
002594,比亚迪,27.34,5.22,745324819392.0
301511,德福科技,-38.53,1.97,8124850580.0
688399,硕世生物,77.9,1.33,4555946400.0
300832,新产业,30.34,7.17,54796028066.0
831195,三祥科技,15.78,0.96,656801000.0
002667,威领股份,-15.97,2.6,1626309410.0
605305,中际联合,17.0,1.98,4775324400.0
002966,苏州银行,4.19,0.61,24750535129.0
300833,浩洋股份,11.22,1.96,4554922905.0
002819,东方中科,-64.77,1.63,6743279863.0
688192,迪哲医药-U,-21.87,24.76,15079895194.0
600641,万业企业,-61.18,1.05,8664164555.0
600547,山东黄金,41.52,4.89,114877670202.0
603558,健盛集团,10.41,1.42,3450906873.0
002078,太阳纸业,9.3,1.17,32696505492.0
603730,岱美股份,18.43,3.56,15486318520.0
601222,林洋能源,12.17,0.94,14565395933.0
688295,中复神鹰,297.86,3.12,14877000000.0
601958,金钼股份,10.14,1.96,30555943668.0
601991,大唐发电,7.26,1.52,45156373630.0
600487,亨通光电,11.29,1.33,36335001498.0
688611,杭州柯林,46.33,3.47,2971375680.0
600850,电科数字,44.11,2.7,11769714668.0
600012,皖通高速,15.21,1.98,24630358500.0
600486,扬农化工,12.55,1.89,19151804800.0
300139,晓程科技,86.69,3.57,3435960000.0
836675,秉扬科技,11.92,1.47,864313480.0
601399,国机重装,42.84,1.29,18250296402.0
600783,鲁信创投,15.99,1.59,7555246834.0
600326,西藏天路,-48.63,1.74,6547175267.0
301035,润丰股份,29.3,1.65,10653251854.0
831689,克莱特,12.34,1.69,749414000.0
300487,蓝晓科技,25.65,6.14,20730728602.0
601101,昊华能源,6.5,0.95,11159983927.0
832982,锦波生物,21.8,12.2,13497164382.0
836504,博迅生物,57.71,2.38,448497585.0
601827,三峰环境,9.81,1.22,13073707720.0
600151,航天机电,-114.55,1.54,7529824507.0
600582,天地科技,7.1,0.93,21768977572.0
000061,农产品,21.13,1.47,8993909894.0
